grid_id,date,rainfall_mm_day,is_provisional
AIZ_GRID_002,2026-09-03,16.1,False
AIZ_GRID_002,2026-09-04,7.0,False
AIZ_GRID_002,2026-09-05,5.1,False
AIZ_GRID_002,2026-09-06,7.3,False
AIZ_GRID_002,2026-09-07,10.0,False
AIZ_GRID_002,2026-09-08,30.8,False
AIZ_GRID_002,2026-09-09,12.1,False
AIZ_GRID_002,2026-09-10,4.6,True
AIZ_GRID_004,2026-09-03,9.1,False
AIZ_GRID_004,2026-09-04,4.2,False
AIZ_GRID_004,2026-09-05,5.1,False
AIZ_GRID_004,2026-09-06,9.4,False
AIZ_GRID_004,2026-09-07,9.6,False
AIZ_GRID_004,2026-09-08,36.3,False
AIZ_GRID_004,2026-09-09,18.0,False
AIZ_GRID_004,2026-09-10,4.3,True
AIZ_GRID_005,2026-09-03,12.0,False
AIZ_GRID_005,2026-09-04,10.1,False
AIZ_GRID_005,2026-09-05,5.9,False
AIZ_GRID_005,2026-09-06,8.5,False
AIZ_GRID_005,2026-09-07,8.0,False
AIZ_GRID_005,2026-09-08,34.0,False
AIZ_GRID_005,2026-09-09,14.8,False
AIZ_GRID_005,2026-09-10,6.0,True
AIZ_GRID_006,2026-09-03,15.1,False
AIZ_GRID_006,2026-09-04,5.7,False
AIZ_GRID_006,2026-09-05,4.4,False
AIZ_GRID_006,2026-09-06,8.9,False
AIZ_GRID_006,2026-09-07,12.1,False
AIZ_GRID_006,2026-09-08,27.9,False
AIZ_GRID_006,2026-09-09,11.5,False
AIZ_GRID_006,2026-09-10,4.5,True
AIZ_GRID_008,2026-09-03,9.1,False
AIZ_GRID_008,2026-09-04,4.2,False
AIZ_GRID_008,2026-09-05,5.1,False
AIZ_GRID_008,2026-09-06,9.4,False
AIZ_GRID_008,2026-09-07,9.6,False
AIZ_GRID_008,2026-09-08,36.3,False
AIZ_GRID_008,2026-09-09,18.0,False
AIZ_GRID_008,2026-09-10,4.3,True
AIZ_GRID_009,2026-09-03,12.0,False
AIZ_GRID_009,2026-09-04,10.1,False
AIZ_GRID_009,2026-09-05,5.9,False
AIZ_GRID_009,2026-09-06,8.5,False
AIZ_GRID_009,2026-09-07,8.0,False
AIZ_GRID_009,2026-09-08,34.0,False
AIZ_GRID_009,2026-09-09,14.8,False
AIZ_GRID_009,2026-09-10,6.0,True
AIZ_GRID_011,2026-09-03,8.5,False
AIZ_GRID_011,2026-09-04,9.7,False
AIZ_GRID_011,2026-09-05,9.5,False
AIZ_GRID_011,2026-09-06,12.7,False
AIZ_GRID_011,2026-09-07,9.3,False
AIZ_GRID_011,2026-09-08,23.0,False
AIZ_GRID_011,2026-09-09,20.0,False
AIZ_GRID_011,2026-09-10,6.3,True
AIZ_GRID_012,2026-09-03,10.6,False
AIZ_GRID_012,2026-09-04,12.2,False
AIZ_GRID_012,2026-09-05,4.6,False
AIZ_GRID_012,2026-09-06,10.4,False
AIZ_GRID_012,2026-09-07,9.2,False
AIZ_GRID_012,2026-09-08,28.1,False
AIZ_GRID_012,2026-09-09,18.3,False
AIZ_GRID_012,2026-09-10,5.7,True
AIZ_GRID_019,2026-09-03,10.5,False
AIZ_GRID_019,2026-09-04,7.1,False
AIZ_GRID_019,2026-09-05,3.0,False
AIZ_GRID_019,2026-09-06,10.9,False
AIZ_GRID_019,2026-09-07,7.9,False
AIZ_GRID_019,2026-09-08,20.7,False
AIZ_GRID_019,2026-09-09,22.3,False
AIZ_GRID_019,2026-09-10,2.2,True
AIZ_GRID_020,2026-09-03,15.3,False
AIZ_GRID_020,2026-09-04,14.1,False
AIZ_GRID_020,2026-09-05,3.2,False
AIZ_GRID_020,2026-09-06,7.0,False
AIZ_GRID_020,2026-09-07,6.8,False
AIZ_GRID_020,2026-09-08,20.2,False
AIZ_GRID_020,2026-09-09,20.2,False
AIZ_GRID_020,2026-09-10,2.6,True
AIZ_GRID_025,2026-09-03,10.5,False
AIZ_GRID_025,2026-09-04,7.1,False
AIZ_GRID_025,2026-09-05,3.0,False
AIZ_GRID_025,2026-09-06,10.9,False
AIZ_GRID_025,2026-09-07,7.9,False
AIZ_GRID_025,2026-09-08,20.7,False
AIZ_GRID_025,2026-09-09,22.3,False
AIZ_GRID_025,2026-09-10,2.2,True
AIZ_GRID_026,2026-09-03,9.8,False
AIZ_GRID_026,2026-09-04,9.4,False
AIZ_GRID_026,2026-09-05,2.0,False
AIZ_GRID_026,2026-09-06,17.5,False
AIZ_GRID_026,2026-09-07,6.5,False
AIZ_GRID_026,2026-09-08,24.1,False
AIZ_GRID_026,2026-09-09,20.2,False
AIZ_GRID_026,2026-09-10,2.7,True
AIZ_GRID_027,2026-09-03,9.8,False
AIZ_GRID_027,2026-09-04,9.4,False
AIZ_GRID_027,2026-09-05,2.0,False
AIZ_GRID_027,2026-09-06,17.5,False
AIZ_GRID_027,2026-09-07,6.5,False
AIZ_GRID_027,2026-09-08,24.1,False
AIZ_GRID_027,2026-09-09,20.2,False
AIZ_GRID_027,2026-09-10,2.7,True
AIZ_GRID_028,2026-09-03,18.6,False
AIZ_GRID_028,2026-09-04,12.2,False
AIZ_GRID_028,2026-09-05,4.4,False
AIZ_GRID_028,2026-09-06,13.9,False
AIZ_GRID_028,2026-09-07,8.2,False
AIZ_GRID_028,2026-09-08,20.7,False
AIZ_GRID_028,2026-09-09,18.3,False
AIZ_GRID_028,2026-09-10,1.4,True
AIZ_GRID_032,2026-09-03,8.2,False
AIZ_GRID_032,2026-09-04,10.8,False
AIZ_GRID_032,2026-09-05,3.2,False
AIZ_GRID_032,2026-09-06,15.3,False
AIZ_GRID_032,2026-09-07,4.3,False
AIZ_GRID_032,2026-09-08,25.3,False
AIZ_GRID_032,2026-09-09,17.6,False
AIZ_GRID_032,2026-09-10,5.0,True
AIZ_GRID_033,2026-09-03,9.8,False
AIZ_GRID_033,2026-09-04,9.4,False
AIZ_GRID_033,2026-09-05,2.0,False
AIZ_GRID_033,2026-09-06,17.5,False
AIZ_GRID_033,2026-09-07,6.5,False
AIZ_GRID_033,2026-09-08,24.1,False
AIZ_GRID_033,2026-09-09,20.2,False
AIZ_GRID_033,2026-09-10,2.7,True
AIZ_GRID_036,2026-09-03,18.6,False
AIZ_GRID_036,2026-09-04,12.2,False
AIZ_GRID_036,2026-09-05,4.4,False
AIZ_GRID_036,2026-09-06,13.9,False
AIZ_GRID_036,2026-09-07,8.2,False
AIZ_GRID_036,2026-09-08,20.7,False
AIZ_GRID_036,2026-09-09,18.3,False
AIZ_GRID_036,2026-09-10,1.4,True
AIZ_GRID_040,2026-09-03,6.3,False
AIZ_GRID_040,2026-09-04,8.2,False
AIZ_GRID_040,2026-09-05,6.2,False
AIZ_GRID_040,2026-09-06,16.4,False
AIZ_GRID_040,2026-09-07,5.6,False
AIZ_GRID_040,2026-09-08,26.6,False
AIZ_GRID_040,2026-09-09,16.6,False
AIZ_GRID_040,2026-09-10,7.6,True
AIZ_GRID_041,2026-09-03,13.0,False
AIZ_GRID_041,2026-09-04,6.5,False
AIZ_GRID_041,2026-09-05,2.1,False
AIZ_GRID_041,2026-09-06,17.2,False
AIZ_GRID_041,2026-09-07,7.6,False
AIZ_GRID_041,2026-09-08,24.8,False
AIZ_GRID_041,2026-09-09,16.8,False
AIZ_GRID_041,2026-09-10,4.7,True
AIZ_GRID_042,2026-09-03,13.0,False
AIZ_GRID_042,2026-09-04,6.5,False
AIZ_GRID_042,2026-09-05,2.1,False
AIZ_GRID_042,2026-09-06,17.2,False
AIZ_GRID_042,2026-09-07,7.6,False
AIZ_GRID_042,2026-09-08,24.8,False
AIZ_GRID_042,2026-09-09,16.8,False
AIZ_GRID_042,2026-09-10,4.7,True
AIZ_GRID_043,2026-09-03,14.4,False
AIZ_GRID_043,2026-09-04,9.3,False
AIZ_GRID_043,2026-09-05,5.5,False
AIZ_GRID_043,2026-09-06,16.7,False
AIZ_GRID_043,2026-09-07,8.9,False
AIZ_GRID_043,2026-09-08,21.1,False
AIZ_GRID_043,2026-09-09,19.0,False
AIZ_GRID_043,2026-09-10,1.6,True
AIZ_GRID_044,2026-09-03,14.4,False
AIZ_GRID_044,2026-09-04,9.3,False
AIZ_GRID_044,2026-09-05,5.5,False
AIZ_GRID_044,2026-09-06,16.7,False
AIZ_GRID_044,2026-09-07,8.9,False
AIZ_GRID_044,2026-09-08,21.1,False
AIZ_GRID_044,2026-09-09,19.0,False
AIZ_GRID_044,2026-09-10,1.6,True
AIZ_GRID_048,2026-09-03,7.9,False
AIZ_GRID_048,2026-09-04,13.2,False
AIZ_GRID_048,2026-09-05,7.6,False
AIZ_GRID_048,2026-09-06,14.1,False
AIZ_GRID_048,2026-09-07,10.4,False
AIZ_GRID_048,2026-09-08,25.7,False
AIZ_GRID_048,2026-09-09,19.7,False
AIZ_GRID_048,2026-09-10,10.4,True
AIZ_GRID_049,2026-09-03,13.0,False
AIZ_GRID_049,2026-09-04,6.5,False
AIZ_GRID_049,2026-09-05,2.1,False
AIZ_GRID_049,2026-09-06,17.2,False
AIZ_GRID_049,2026-09-07,7.6,False
AIZ_GRID_049,2026-09-08,24.8,False
AIZ_GRID_049,2026-09-09,16.8,False
