location_id,latitude,longitude,elevation_m,slope_deg
AIZ_GRID_040_23.738889_92.696389,23.738889,92.696389,1042.0,28.00108337402344
AIZ_GRID_040_23.739472_92.696667,23.739472,92.696667,1040.0,24.626888275146484
AIZ_GRID_040_23.740278_92.697222,23.740278,92.697222,1035.0,23.32939910888672
AIZ_GRID_040_23.740667_92.693361,23.740667,92.693361,933.0,20.926502227783203
AIZ_GRID_040_23.738575_92.694194,23.738575,92.694194,974.0,28.89985084533692
AIZ_GRID_040_23.744722_92.692778,23.744722,92.692778,984.0,19.768285751342773
AIZ_GRID_040_23.741167_92.694556,23.741167,92.694556,948.0,28.23966407775879
AIZ_GRID_040_23.7375_92.694444,23.7375,92.694444,1007.0,24.476747512817383
AIZ_GRID_040_23.733861_92.694917,23.733861,92.694917,899.0,28.761680603027344
AIZ_GRID_040_23.726694_92.695194,23.726694,92.695194,903.0,27.686426162719727
AIZ_GRID_040_23.733611_92.693889,23.733611,92.693889,891.0,24.97211647033692
AIZ_GRID_040_23.734722_92.695,23.734722,92.695,922.0,12.168827056884766
AIZ_GRID_040_23.733056_92.699444,23.733056,92.699444,910.0,28.78240394592285
AIZ_GRID_040_23.749722_92.698333,23.749722,92.698333,632.0,8.904701232910156
AIZ_GRID_041_23.731111_92.702222,23.731111,92.702222,877.0,14.595784187316896
AIZ_GRID_041_23.731111_92.703889,23.731111,92.703889,882.0,28.0842399597168
AIZ_GRID_041_23.733333_92.705278,23.733333,92.705278,949.0,18.31635856628418
AIZ_GRID_040_23.735833_92.697778,23.735833,92.697778,979.0,23.251510620117188
AIZ_GRID_041_23.731328_92.708219,23.731328,92.708219,889.0,15.226140022277832
AIZ_GRID_041_23.724283_92.707378,23.724283,92.707378,988.0,26.4307918548584
AIZ_GRID_041_23.722769_92.70665,23.722769,92.70665,953.0,38.04790878295898
AIZ_GRID_041_23.714464_92.711464,23.714464,92.711464,996.0,28.428613662719727
AIZ_GRID_041_23.715811_92.70935,23.715811,92.70935,905.0,34.40541458129883
AIZ_GRID_041_23.71595_92.708794,23.71595,92.708794,909.0,40.60223007202149
AIZ_GRID_041_23.7175_92.706667,23.7175,92.706667,912.0,12.113170623779297
AIZ_GRID_041_23.717408_92.706442,23.717408,92.706442,906.0,16.752363204956055
AIZ_GRID_041_23.717356_92.707533,23.717356,92.707533,914.0,39.87944793701172
AIZ_GRID_041_23.717217_92.707778,23.717217,92.707778,923.0,35.23633575439453
AIZ_GRID_041_23.716972_92.708172,23.716972,92.708172,912.0,31.827539443969727
AIZ_GRID_041_23.713056_92.708958,23.713056,92.708958,986.0,12.032991409301758
AIZ_GRID_041_23.715231_92.715292,23.715231,92.715292,1022.0,21.22980499267578
AIZ_GRID_041_23.74_92.715,23.74,92.715,1065.0,40.31692123413086
AIZ_GRID_041_23.739444_92.714722,23.739444,92.714722,1066.0,48.21201705932617
AIZ_GRID_041_23.711389_92.724444,23.711389,92.724444,922.0,25.768310546875
AIZ_GRID_041_23.716389_92.721111,23.716389,92.721111,997.0,17.73926544189453
AIZ_GRID_041_23.714444_92.728611,23.714444,92.728611,845.0,19.51909446716309
AIZ_GRID_041_23.715714_92.726597,23.715714,92.726597,853.0,24.651403427124023
AIZ_GRID_041_23.7104_92.722378,23.7104,92.722378,963.0,39.10588073730469
AIZ_GRID_041_23.718658_92.723353,23.718658,92.723353,940.0,33.2645263671875
AIZ_GRID_041_23.7175_92.719722,23.7175,92.719722,1099.0,26.87264060974121
AIZ_GRID_041_23.71_92.716111,23.71,92.716111,934.0,28.097299575805664
AIZ_GRID_041_23.706667_92.714444,23.706667,92.714444,1027.0,31.610700607299805
AIZ_GRID_041_23.705278_92.711389,23.705278,92.711389,1060.0,34.32509994506836
AIZ_GRID_041_23.704167_92.712222,23.704167,92.712222,1070.0,32.48820877075195
AIZ_GRID_041_23.700278_92.716111,23.700278,92.716111,1018.0,27.70359992980957
AIZ_GRID_033_23.699722_92.716944,23.699722,92.716944,1031.0,30.935073852539062
AIZ_GRID_033_23.680278_92.724722,23.680278,92.724722,920.0,27.81185913085937
AIZ_GRID_033_23.678056_92.72,23.678056,92.72,996.0,33.00326156616211
AIZ_GRID_025_23.643333_92.734444,23.643333,92.734444,720.0,14.505157470703123
AIZ_GRID_025_23.646389_92.726389,23.646389,92.726389,783.0,29.457958221435547
AIZ_GRID_025_23.646389_92.725278,23.646389,92.725278,824.0,16.256122589111328
AIZ_GRID_025_23.631111_92.723889,23.631111,92.723889,845.0,25.91125869750977
AIZ_GRID_025_23.630556_92.723056,23.630556,92.723056,872.0,19.441648483276367
AIZ_GRID_025_23.628333_92.723333,23.628333,92.723333,787.0,23.50261878967285
AIZ_GRID_025_23.622778_92.724444,23.622778,92.724444,816.0,19.582061767578125
AIZ_GRID_025_23.621944_92.723056,23.621944,92.723056,812.0,7.370669364929199
AIZ_GRID_025_23.620833_92.7225,23.620833,92.7225,819.0,16.471155166625977
AIZ_GRID_025_23.619167_92.7225,23.619167,92.7225,841.0,30.48874282836914
AIZ_GRID_025_23.62_92.724722,23.62,92.724722,811.0,22.66691017150879
AIZ_GRID_025_23.619722_92.725278,23.619722,92.725278,808.0,13.521445274353027
AIZ_GRID_025_23.620278_92.725556,23.620278,92.725556,781.0,10.557177543640137
AIZ_GRID_025_23.620278_92.726111,23.620278,92.726111,775.0,12.898162841796877
AIZ_GRID_025_23.621111_92.724444,23.621111,92.724444,817.0,15.226140022277832
AIZ_GRID_033_23.687433_92.721292,23.687433,92.721292,1091.0,19.252243041992188
AIZ_GRID_033_23.676944_92.717222,23.676944,92.717222,1095.0,35.12616729736328
AIZ_GRID_033_23.675833_92.715,23.675833,92.715,992.0,20.369962692260746
AIZ_GRID_033_23.674722_92.717222,23.674722,92.717222,1106.0,12.113170623779297
AIZ_GRID_033_23.674444_92.714722,23.674444,92.714722,995.0,26.133516311645508
AIZ_GRID_033_23.673889_92.714722,23.673889,92.714722,1002.0,30.271915435791016
AIZ_GRID_033_23.672069_92.709929,23.672069,92.709929,996.0,14.350937843322754
AIZ_GRID_033_23.684301_92.715511,23.684301,92.715511,1033.0,24.405174255371094
AIZ_GRID_041_23.706389_92.720556,23.706389,92.720556,892.0,40.88198471069336
AIZ_GRID_041_23.704167_92.72,23.704167,92.72,884.0,42.60014343261719
AIZ_GRID_041_23.703056_92.720556,23.703056,92.720556,868.0,33.295074462890625
AIZ_GRID_033_23.693333_92.720556,23.693333,92.720556,970.0,33.75522232055664
AIZ_GRID_033_23.69_92.723611,23.69,92.723611,877.0,16.040876388549805
AIZ_GRID_033_23.683611_92.722778,23.683611,92.722778,924.0,31.2247314453125
AIZ_GRID_033_23.676111_92.719722,23.676111,92.719722,1003.0,41.29151916503906
AIZ_GRID_033_23.671389_92.723611,23.671389,92.723611,979.0,31.806421279907227
AIZ_GRID_033_23.666944_92.721944,23.666944,92.721944,958.0,33.46065139770508
AIZ_GRID_033_23.666667_92.723889,23.666667,92.723889,851.0,52.93409729003906
AIZ_GRID_033_23.660278_92.726944,23.660278,92.726944,850.0,31.568431854248047
AIZ_GRID_025_23.643889_92.725833,23.643889,92.725833,821.0,28.00108337402344
AIZ_GRID_025_23.635_92.723611,23.635,92.723611,835.0,38.7872200012207
AIZ_GRID_006_23.432778_92.761111,23.432778,92.761111,1513.0,19.981767654418945
AIZ_GRID_009_23.467778_92.741111,23.467778,92.741111,1337.0,49.54093170166016
AIZ_GRID_009_23.468056_92.716389,23.468056,92.716389,1123.0,32.27671813964844
AIZ_GRID_009_23.4725_92.714444,23.4725,92.714444,1072.0,21.8457145690918
AIZ_GRID_009_23.49_92.705556,23.49,92.705556,1043.0,38.71343231201172
AIZ_GRID_009_23.497222_92.703333,23.497222,92.703333,922.0,28.264209747314453
AIZ_GRID_011_23.513611_92.698333,23.513611,92.698333,806.0,28.70706367492676
AIZ_GRID_011_23.536667_92.6975,23.536667,92.6975,854.0,32.6060791015625
AIZ_GRID_012_23.541667_92.701944,23.541667,92.701944,870.0,27.95377540588379
AIZ_GRID_012_23.542778_92.703333,23.542778,92.703333,899.0,30.19009780883789
AIZ_GRID_012_23.529444_92.729444,23.529444,92.729444,989.0,25.722314834594727
AIZ_GRID_012_23.530833_92.730556,23.530833,92.730556,996.0,32.23304748535156
AIZ_GRID_012_23.531111_92.733611,23.531111,92.733611,1048.0,26.59383773803711
AIZ_GRID_012_23.530833_92.733333,23.530833,92.733333,1061.0,25.50950050354004
AIZ_GRID_019_23.563889_92.708056,23.563889,92.708056,838.0,40.77069854736328
AIZ_GRID_019_23.564167_92.708056,23.564167,92.708056,855.0,30.7674617767334
AIZ_GRID_019_23.565_92.707778,23.565,92.707778,848.0,29.66044807434082
AIZ_GRID_019_23.566667_92.708889,23.566667,92.708889,850.0,19.91641616821289
AIZ_GRID_049_23.773056_92.743611,23.773056,92.743611,1000.0,32.821224212646484
AIZ_GRID_050_23.774722_92.761944,23.774722,92.761944,1118.0,20.5286808013916
AIZ_GRID_050_23.773611_92.761111,23.773611,92.761111,1122.0,10.189693450927734
AIZ_GRID_041_23.748611_92.738611,23.748611,92.738611,965.0,24.01010513305664
AIZ_GRID_025_23.61_92.720833,23.61,92.720833,885.0,29.97786331176757
AIZ_GRID_025_23.606667_92.723056,23.606667,92.723056,933.0,7.602117538452148
AIZ_GRID_019_23.5925_92.716667,23.5925,92.716667,778.0,24.607479095458984
AIZ_GRID_019_23.587222_92.713611,23.587222,92.713611,827.0,28.28663825988769
AIZ_GRID_019_23.576944_92.713056,23.576944,92.713056,906.0,19.28753471374512
AIZ_GRID_019_23.580278_92.715,23.580278,92.715,919.0,17.647506713867188
AIZ_GRID_019_23.581389_92.714167,23.581389,92.714167,910.0,27.45517921447754
AIZ_GRID_019_23.586944_92.7175,23.586944,92.7175,950.0,29.43382835388184
AIZ_GRID_019_23.585556_92.715833,23.585556,92.715833,931.0,25.51914405822754
AIZ_GRID_019_23.585833_92.716389,23.585833,92.716389,957.0,15.89365005493164
AIZ_GRID_019_23.586389_92.715833,23.586389,92.715833,919.0,18.54336929321289
AIZ_GRID_033_23.653889_92.724444,23.653889,92.724444,746.0,30.547348022460938
AIZ_GRID_033_23.654167_92.717778,23.654167,92.717778,893.0,36.9641227722168
AIZ_GRID_033_23.655_92.714444,23.655,92.714444,888.0,22.506441116333008
AIZ_GRID_032_23.654167_92.69,23.654167,92.69,871.0,23.85238265991211
AIZ_GRID_032_23.660556_92.672778,23.660556,92.672778,1033.0,19.149185180664062
AIZ_GRID_032_23.660833_92.672778,23.660833,92.672778,1034.0,12.26225471496582
AIZ_GRID_032_23.657778_92.674444,23.657778,92.674444,962.0,10.850753784179688
AIZ_GRID_033_23.658611_92.705833,23.658611,92.705833,878.0,13.473954200744627
AIZ_GRID_033_23.681436_92.721442,23.681436,92.721442,1017.0,29.33857727050781
AIZ_GRID_042_23.735556_92.788333,23.735556,92.788333,523.0,21.32184410095215
AIZ_GRID_042_23.726944_92.795278,23.726944,92.795278,265.0,17.090373992919922
AIZ_GRID_042_23.732778_92.797222,23.732778,92.797222,261.0,18.84522247314453
AIZ_GRID_042_23.734167_92.798611,23.734167,92.798611,293.0,12.792301177978516
AIZ_GRID_042_23.745556_92.794444,23.745556,92.794444,358.0,37.00834655761719
AIZ_GRID_042_23.736667_92.797222,23.736667,92.797222,321.0,9.1850004196167
AIZ_GRID_042_23.736389_92.798056,23.736389,92.798056,339.0,14.958802223205566
AIZ_GRID_042_23.735833_92.798889,23.735833,92.798889,362.0,35.21625518798828
AIZ_GRID_042_23.736389_92.8,23.736389,92.8,366.0,33.610679626464844
AIZ_GRID_043_23.735556_92.800278,23.735556,92.800278,347.0,14.880057334899902
AIZ_GRID_042_23.719722_92.797778,23.719722,92.797778,220.0,23.86218643188477
AIZ_GRID_043_23.722222_92.801389,23.722222,92.801389,197.0,33.3203125
AIZ_GRID_043_23.733056_92.847778,23.733056,92.847778,756.0,40.45203399658203
AIZ_GRID_051_23.760833_92.8475,23.760833,92.8475,780.0,26.522600173950195
AIZ_GRID_070_23.869722_92.876111,23.869722,92.876111,977.0,17.17852783203125
AIZ_GRID_059_23.807506_92.834172,23.807506,92.834172,530.0,24.405174255371094
AIZ_GRID_041_23.723278_92.702222,23.723278,92.702222,912.0,34.640350341796875
AIZ_GRID_033_23.655306_92.7025,23.655306,92.7025,907.0,28.334793090820312
AIZ_GRID_041_23.708278_92.717111,23.708278,92.717111,1014.0,25.04520797729492
AIZ_GRID_057_23.829501_92.736459,23.829501,92.736459,1291.0,33.342323303222656
AIZ_GRID_057_23.828321_92.73701,23.828321,92.73701,1270.0,39.01408386230469
AIZ_GRID_019_23.599444_92.720194,23.599444,92.720194,766.0,30.603565216064453
AIZ_GRID_012_23.519806_92.700667,23.519806,92.700667,788.0,33.6378288269043
AIZ_GRID_117_24.271389_92.96,24.271389,92.96,775.0,20.5286808013916
AIZ_GRID_111_24.182528_92.949917,24.182528,92.949917,450.0,17.289247512817383
AIZ_GRID_070_23.866389_92.881389,23.866389,92.881389,944.0,30.37324523925781
AIZ_GRID_019_23.571667_92.710833,23.571667,92.710833,865.0,20.948665618896484
AIZ_GRID_019_23.583889_92.717222,23.583889,92.717222,972.0,12.113170623779297
AIZ_GRID_019_23.585917_92.717778,23.585917,92.717778,958.0,10.6621675491333
AIZ_GRID_019_23.559444_92.708333,23.559444,92.708333,786.0,15.769800186157228
AIZ_GRID_012_23.543806_92.701361,23.543806,92.701361,784.0,17.675397872924805
AIZ_GRID_012_23.540278_92.701389,23.540278,92.701389,875.0,26.749317169189453
AIZ_GRID_012_23.539861_92.700639,23.539861,92.700639,856.0,23.523117065429688
AIZ_GRID_011_23.535_92.696944,23.535,92.696944,827.0,46.80855178833008
AIZ_GRID_011_23.533333_92.697222,23.533333,92.697222,825.0,39.73119354248047
AIZ_GRID_011_23.529722_92.696111,23.529722,92.696111,813.0,37.58553314208984
AIZ_GRID_009_23.499917_92.701361,23.499917,92.701361,896.0,20.1423397064209
AIZ_GRID_012_23.5_92.701111,23.5,92.701111,883.0,26.815889358520508
AIZ_GRID_048_23.781389_92.676389,23.781389,92.676389,447.0,30.97755241394043
AIZ_GRID_028_23.634722_92.855,23.634722,92.855,1049.0,19.414628982543945
AIZ_GRID_028_23.608611_92.850556,23.608611,92.850556,1132.0,19.981767654418945
AIZ_GRID_041_23.733056_92.75,23.733056,92.75,967.0,33.75522232055664
AIZ_GRID_041_23.732222_92.75,23.732222,92.75,929.0,35.276466369628906
AIZ_GRID_041_23.731944_92.75,23.731944,92.75,931.0,39.39154052734375
AIZ_GRID_041_23.740833_92.741111,23.740833,92.741111,950.0,30.864177703857425
AIZ_GRID_041_23.749167_92.7375,23.749167,92.7375,1027.0,29.58232879638672
AIZ_GRID_049_23.769722_92.744722,23.769722,92.744722,1170.0,29.93304443359375
AIZ_GRID_049_23.763889_92.733889,23.763889,92.733889,1189.0,44.719764709472656
AIZ_GRID_049_23.760556_92.731944,23.760556,92.731944,1131.0,34.0235710144043
AIZ_GRID_041_23.715833_92.72,23.715833,92.72,1041.0,16.08530616760254
AIZ_GRID_041_23.738889_92.714722,23.738889,92.714722,1091.0,38.11953353881836
AIZ_GRID_041_23.736944_92.715,23.736944,92.715,1096.0,39.189720153808594
AIZ_GRID_040_23.749167_92.694167,23.749167,92.694167,816.0,27.463850021362305
AIZ_GRID_041_23.741944_92.713056,23.741944,92.713056,920.0,24.52652359008789
AIZ_GRID_041_23.743889_92.712222,23.743889,92.712222,820.0,29.562744140625
AIZ_GRID_041_23.747222_92.718056,23.747222,92.718056,951.0,36.59699249267578
AIZ_GRID_033_23.692778_92.720556,23.692778,92.720556,989.0,23.36318588256836
AIZ_GRID_033_23.697778_92.719444,23.697778,92.719444,1007.0,38.66463851928711
AIZ_GRID_033_23.699722_92.7175,23.699722,92.7175,1021.0,42.90288162231445
AIZ_GRID_041_23.709722_92.722222,23.709722,92.722222,930.0,46.35157775878906
AIZ_GRID_033_23.699444_92.719722,23.699444,92.719722,1073.0,18.351364135742188
AIZ_GRID_033_23.689167_92.720556,23.689167,92.720556,1032.0,24.37499237060547
AIZ_GRID_041_23.702778_92.720833,23.702778,92.720833,872.0,31.38419532775879
AIZ_GRID_041_23.7025_92.721389,23.7025,92.721389,853.0,36.096439361572266
AIZ_GRID_033_23.698056_92.722778,23.698056,92.722778,869.0,32.23304748535156
AIZ_GRID_033_23.693611_92.7225,23.693611,92.7225,867.0,34.92423248291016
AIZ_GRID_033_23.664167_92.720556,23.664167,92.720556,1064.0,19.5496826171875
AIZ_GRID_033_23.660556_92.725278,23.660556,92.725278,857.0,26.40682029724121
AIZ_GRID_033_23.66_92.726389,23.66,92.726389,872.0,29.110328674316406
AIZ_GRID_033_23.655278_92.726944,23.655278,92.726944,829.0,18.79589080810547
AIZ_GRID_033_23.651389_92.726944,23.651389,92.726944,787.0,18.351364135742188
AIZ_GRID_025_23.645556_92.724444,23.645556,92.724444,807.0,31.02042388916016
AIZ_GRID_025_23.644444_92.725278,23.644444,92.725278,826.0,20.1423397064209
AIZ_GRID_025_23.641667_92.724167,23.641667,92.724167,811.0,23.095861434936523
AIZ_GRID_025_23.640833_92.724722,23.640833,92.724722,842.0,26.116567611694336
AIZ_GRID_025_23.6375_92.722778,23.6375,92.722778,826.0,34.640350341796875
AIZ_GRID_025_23.626111_92.726389,23.626111,92.726389,780.0,32.59394836425781
AIZ_GRID_025_23.6325_92.723889,23.6325,92.723889,798.0,33.97532272338867
AIZ_GRID_025_23.629722_92.725556,23.629722,92.725556,794.0,23.18412399291992
AIZ_GRID_025_23.616111_92.717222,23.616111,92.717222,904.0,17.45937156677246
AIZ_GRID_025_23.618611_92.726111,23.618611,92.726111,807.0,24.19359397888184
AIZ_GRID_025_23.605556_92.725,23.605556,92.725,894.0,25.476280212402344
AIZ_GRID_020_23.586944_92.8175,23.586944,92.8175,623.0,19.414628982543945
AIZ_GRID_019_23.591944_92.750556,23.591944,92.750556,693.0,18.351364135742188
AIZ_GRID_020_23.595_92.816111,23.595,92.816111,590.0,35.0204963684082
AIZ_GRID_027_23.608611_92.809722,23.608611,92.809722,489.0,33.55191421508789
AIZ_GRID_027_23.609722_92.809167,23.609722,92.809167,528.0,29.707422256469727
AIZ_GRID_027_23.613611_92.807778,23.613611,92.807778,541.0,19.768285751342773
AIZ_GRID_027_23.612222_92.805278,23.612222,92.805278,442.0,29.87653160095215
AIZ_GRID_027_23.611389_92.803333,23.611389,92.803333,461.0,40.75917053222656
AIZ_GRID_026_23.616111_92.797778,23.616111,92.797778,407.0,28.669931411743164
AIZ_GRID_026_23.614722_92.795833,23.614722,92.795833,382.0,38.54449462890625
